101 EQSim_Input_Friction_by_hand_Schultz
111 Fault friction from UCERF3
102 End_Metadata
120 200 summary 4    Record 200: Fault friction summary
121 1 n_element 1    Field 1: Total number of elements in the file
121 2 elastic_flag 1    Field 2: 1 if elastic parameters (record 201) are included, 0 if not
121 3 strength_flag 1    Field 3: 1 if fault strength (record 202) is included, 0 if not
121 4 rate_state_flag 1    Field 4: 1 if rate-state parameters (record 203) are included, 0 if not
120 201 elastic_param 2    Record 201: Elastic parameters
121 1 lame_lambda 2    Field 1: Lame modulus lambda (Pascal)
121 2 lame_mu 2    Field 2: Lame modulus mu, also known as the shear modulus (Pascal)
120 202 fault_strength 3    Record 202: Fault strength
121 1 index 1    Field 1: Element index number (consecutive integers, starting with 1)
121 2 static_strength 2    Field 2: Element static yield strength (Pascal)
121 3 dynamic_strength 2    Field 3: Element dynamic sliding strength (Pascal)
120 203 rate_state 6    Record 203: Rate-state parameters
121 1 index 1    Field 1: Element index number (consecutive integers, starting with 1)
121 2 A 2    Field 2: Element rate-state parameter A
121 3 B 2    Field 3: Element rate-state parameter B
121 4 L 2    Field 4: Element rate-state characteristic distance L (meters)
121 5 f0 2    Field 5: Element rate-state friction coefficient f0
121 6 V0 2    Field 6: Element rate-state reference velocity V0 (meters/second)
103 End_Descriptor
200 264 1 1 0
202 4660 0.000000e+000 0.000000e+000 
202 4661 0.000000e+000 0.000000e+000 
202 4662 0.000000e+000 0.000000e+000 
202 4663 0.000000e+000 0.000000e+000 
202 4664 0.000000e+000 0.000000e+000 
202 4665 0.000000e+000 0.000000e+000 
202 4666 0.000000e+000 0.000000e+000 
202 4667 0.000000e+000 0.000000e+000 
202 4668 0.000000e+000 0.000000e+000 
202 4669 0.000000e+000 0.000000e+000 
202 4670 0.000000e+000 0.000000e+000 
202 4671 0.000000e+000 0.000000e+000 
202 4672 0.000000e+000 0.000000e+000 
202 4673 0.000000e+000 0.000000e+000 
202 4674 0.000000e+000 0.000000e+000 
202 4675 0.000000e+000 0.000000e+000 
202 4676 0.000000e+000 0.000000e+000 
202 4677 0.000000e+000 0.000000e+000 
202 4678 0.000000e+000 0.000000e+000 
202 4679 0.000000e+000 0.000000e+000 
202 4680 0.000000e+000 0.000000e+000 
202 4681 0.000000e+000 0.000000e+000 
202 4682 0.000000e+000 0.000000e+000 
202 4683 0.000000e+000 0.000000e+000 
202 4684 0.000000e+000 0.000000e+000 
202 4685 0.000000e+000 0.000000e+000 
202 4686 0.000000e+000 0.000000e+000 
202 4687 0.000000e+000 0.000000e+000 
202 4688 0.000000e+000 0.000000e+000 
202 4689 0.000000e+000 0.000000e+000 
202 4690 0.000000e+000 0.000000e+000 
202 4691 0.000000e+000 0.000000e+000 
202 4692 0.000000e+000 0.000000e+000 
202 4693 0.000000e+000 0.000000e+000 
202 4694 0.000000e+000 0.000000e+000 
202 4695 0.000000e+000 0.000000e+000 
202 4696 0.000000e+000 0.000000e+000 
202 4697 0.000000e+000 0.000000e+000 
202 4698 0.000000e+000 0.000000e+000 
202 4699 0.000000e+000 0.000000e+000 
202 4700 0.000000e+000 0.000000e+000 
202 4701 0.000000e+000 0.000000e+000 
202 4702 0.000000e+000 0.000000e+000 
202 4703 0.000000e+000 0.000000e+000 
202 4704 0.000000e+000 0.000000e+000 
202 4705 0.000000e+000 0.000000e+000 
202 4706 0.000000e+000 0.000000e+000 
202 4707 0.000000e+000 0.000000e+000 
202 4708 0.000000e+000 0.000000e+000 
202 4709 0.000000e+000 0.000000e+000 
202 4710 0.000000e+000 0.000000e+000 
202 4711 0.000000e+000 0.000000e+000 
202 4712 0.000000e+000 0.000000e+000 
202 4713 0.000000e+000 0.000000e+000 
202 4714 0.000000e+000 0.000000e+000 
202 4715 0.000000e+000 0.000000e+000 
202 4716 0.000000e+000 0.000000e+000 
202 4717 0.000000e+000 0.000000e+000 
202 4718 0.000000e+000 0.000000e+000 
202 4719 0.000000e+000 0.000000e+000 
202 4720 0.000000e+000 0.000000e+000 
202 4721 0.000000e+000 0.000000e+000 
202 4722 0.000000e+000 0.000000e+000 
202 4723 0.000000e+000 0.000000e+000 
202 4724 0.000000e+000 0.000000e+000 
202 4725 0.000000e+000 0.000000e+000 
202 4726 0.000000e+000 0.000000e+000 
202 4727 0.000000e+000 0.000000e+000 
202 4728 0.000000e+000 0.000000e+000 
202 4729 0.000000e+000 0.000000e+000 
202 4730 0.000000e+000 0.000000e+000 
202 4731 0.000000e+000 0.000000e+000 
202 4732 0.000000e+000 0.000000e+000 
202 4733 0.000000e+000 0.000000e+000 
202 4734 0.000000e+000 0.000000e+000 
202 4735 0.000000e+000 0.000000e+000 
202 4736 0.000000e+000 0.000000e+000 
202 4737 0.000000e+000 0.000000e+000 
202 4738 0.000000e+000 0.000000e+000 
202 4739 0.000000e+000 0.000000e+000 
202 4740 0.000000e+000 0.000000e+000 
202 4741 0.000000e+000 0.000000e+000 
202 4742 0.000000e+000 0.000000e+000 
202 4743 0.000000e+000 0.000000e+000 
202 4744 0.000000e+000 0.000000e+000 
202 4745 0.000000e+000 0.000000e+000 
202 4746 0.000000e+000 0.000000e+000 
202 4747 0.000000e+000 0.000000e+000 
202 4748 0.000000e+000 0.000000e+000 
202 4749 0.000000e+000 0.000000e+000 
202 4750 0.000000e+000 0.000000e+000 
202 4751 0.000000e+000 0.000000e+000 
202 4752 0.000000e+000 0.000000e+000 
202 4753 0.000000e+000 0.000000e+000 
202 4754 0.000000e+000 0.000000e+000 
202 4755 0.000000e+000 0.000000e+000 
202 4756 0.000000e+000 0.000000e+000 
202 4757 0.000000e+000 0.000000e+000 
202 4758 0.000000e+000 0.000000e+000 
202 4759 0.000000e+000 0.000000e+000 
202 4760 0.000000e+000 0.000000e+000 
202 4761 0.000000e+000 0.000000e+000 
202 4762 0.000000e+000 0.000000e+000 
202 4763 0.000000e+000 0.000000e+000 
202 4764 0.000000e+000 0.000000e+000 
202 4765 0.000000e+000 0.000000e+000 
202 4766 0.000000e+000 0.000000e+000 
202 4767 0.000000e+000 0.000000e+000 
202 4768 0.000000e+000 0.000000e+000 
202 4769 0.000000e+000 0.000000e+000 
202 4770 0.000000e+000 0.000000e+000 
202 4771 0.000000e+000 0.000000e+000 
202 4772 0.000000e+000 0.000000e+000 
202 4773 0.000000e+000 0.000000e+000 
202 4774 0.000000e+000 0.000000e+000 
202 4775 0.000000e+000 0.000000e+000 
202 4776 0.000000e+000 0.000000e+000 
202 4777 0.000000e+000 0.000000e+000 
202 4778 0.000000e+000 0.000000e+000 
202 4779 0.000000e+000 0.000000e+000 
202 4780 0.000000e+000 0.000000e+000 
202 4781 0.000000e+000 0.000000e+000 
202 4782 0.000000e+000 0.000000e+000 
202 4783 0.000000e+000 0.000000e+000 
202 4784 0.000000e+000 0.000000e+000 
202 4785 0.000000e+000 0.000000e+000 
202 4786 0.000000e+000 0.000000e+000 
202 4787 0.000000e+000 0.000000e+000 
202 4788 0.000000e+000 0.000000e+000 
202 4789 0.000000e+000 0.000000e+000 
202 4790 0.000000e+000 0.000000e+000 
202 4791 0.000000e+000 0.000000e+000 
202 4792 0.000000e+000 0.000000e+000 
202 4793 0.000000e+000 0.000000e+000 
202 4794 0.000000e+000 0.000000e+000 
202 4795 0.000000e+000 0.000000e+000 
202 4796 0.000000e+000 0.000000e+000 
202 4797 0.000000e+000 0.000000e+000 
202 4798 0.000000e+000 0.000000e+000 
202 4799 0.000000e+000 0.000000e+000 
202 4800 0.000000e+000 0.000000e+000 
202 4801 0.000000e+000 0.000000e+000 
202 4802 0.000000e+000 0.000000e+000 
202 4803 0.000000e+000 0.000000e+000 
202 4804 0.000000e+000 0.000000e+000 
202 4805 0.000000e+000 0.000000e+000 
202 4806 0.000000e+000 0.000000e+000 
202 4807 0.000000e+000 0.000000e+000 
202 4808 0.000000e+000 0.000000e+000 
202 4809 0.000000e+000 0.000000e+000
999 End
