101 EQSim_Input_Geometry_2 4
111 FM3_1, ZENGBB output
112 Kevin Milner
113 Feb 22, 2016
204 4547 18185 18186 18187 18188 -161.3753 6.0565705E-11 0.2 294.35898 82.13996 1
204 4548 18189 18190 18191 18192 -161.3753 6.0565705E-11 0.2 294.36005 82.13998 1
204 4549 18193 18194 18195 18196 -161.3753 6.0565705E-11 0.2 294.36115 82.139984 1
204 4550 18197 18198 18199 18200 -161.3753 6.0565705E-11 0.2 294.3408 82.140396 1
204 4551 18201 18202 18203 18204 -161.3753 6.0565705E-11 0.2 294.3419 82.14041 1
204 4552 18205 18206 18207 18208 -161.3753 6.0565705E-11 0.2 294.34296 82.14043 1
204 4553 18209 18210 18211 18212 -161.3753 6.0565705E-11 0.2 294.34406 82.140434 1
201 513 Elsinore_Coyote_Mountains_Subsection_1 32 0 8 32.802856 32.83835 -116.13272 -116.058044 -13199.993 -0.007246939 0.0 6472.68 103
202 18213 32.802856 -116.06863 -0.009273123 0.0 2
202 18214 32.806595 -116.06664 -3299.9907 0.0 0
202 18215 32.818462 -116.09826 -3299.9907 3236.34 0
202 18216 32.814728 -116.10025 -0.009273123 3236.34 1
202 18217 32.806263 -116.065765 -3300.0093 0.0 0
202 18218 32.809998 -116.063774 -6599.9907 0.0 0
202 18219 32.82187 -116.0954 -6599.9907 3236.34 0
202 18220 32.81813 -116.09738 -3300.0093 3236.34 0
202 18221 32.809666 -116.0629 -6600.0093 0.0 0
202 18222 32.813404 -116.06091 -9899.99 0.0 0
202 18223 32.825275 -116.09253 -9899.99 3236.34 0
202 18224 32.821537 -116.09452 -6600.0093 3236.34 0
202 18225 32.813072 -116.06003 -9900.009 0.0 0
202 18226 32.816807 -116.058044 -13199.99 0.0 0
202 18227 32.82868 -116.08967 -13199.99 3236.34 0
202 18228 32.824944 -116.09165 -9900.009 3236.34 0
202 18229 32.81471 -116.10004 -0.007246939 3236.34 1
202 18230 32.818497 -116.09846 -3299.9927 3236.34 0
202 18231 32.828133 -116.131134 -3299.9927 6472.68 0
202 18232 32.824345 -116.13272 -0.007246939 6472.68 3
202 18233 32.818115 -116.09717 -3300.007 3236.34 0
202 18234 32.8219 -116.09559 -6599.9927 3236.34 0
202 18235 32.831535 -116.12827 -6599.9927 6472.68 0
202 18236 32.82775 -116.12985 -3300.007 6472.68 0
202 18237 32.821518 -116.09431 -6600.007 3236.34 0
202 18238 32.825306 -116.09272 -9899.993 3236.34 0
202 18239 32.83494 -116.125404 -9899.993 6472.68 0
202 18240 32.831158 -116.12698 -6600.007 6472.68 0
202 18241 32.824924 -116.09144 -9900.007 3236.34 0
202 18242 32.82871 -116.08986 -13199.993 3236.34 0
202 18243 32.83835 -116.12254 -13199.993 6472.68 0
202 18244 32.83456 -116.12412 -9900.007 6472.68 0
204 4554 18213 18214 18215 18216 -161.3753 6.0565705E-11 0.2 294.06802 82.147644 1
204 4555 18217 18218 18219 18220 -161.3753 6.0565705E-11 0.2 294.0691 82.14766 1
204 4556 18221 18222 18223 18224 -161.3753 6.0565705E-11 0.2 294.0702 82.147675 1
204 4557 18225 18226 18227 18228 -161.3753 6.0565705E-11 0.2 294.07126 82.14768 1
204 4558 18229 18230 18231 18232 -161.3753 6.0565705E-11 0.2 289.33423 82.30122 1
204 4559 18233 18234 18235 18236 -161.3753 6.0565705E-11 0.2 289.33508 82.30125 1
204 4560 18237 18238 18239 18240 -161.3753 6.0565705E-11 0.2 289.33594 82.30128 1
204 4561 18241 18242 18243 18244 -161.3753 6.0565705E-11 0.2 289.3368 82.30131 1
201 514 Elsinore_Coyote_Mountains_Subsection_2 32 0 8 32.824352 32.86559 -116.192795 -116.122536 -13199.993 -0.0072265225 0.0 6472.68 103
202 18245 32.824352 -116.13271 -0.0072265225 0.0 2
202 18246 32.82814 -116.131134 -3299.9927 0.0 0
202 18247 32.83777 -116.16382 -3299.9927 3236.34 0
202 18248 32.83398 -116.1654 -0.0072265225 3236.34 1
202 18249 32.82776 -116.129845 -3300.007 0.0 0
202 18250 32.831543 -116.128265 -6599.9927 0.0 0
202 18251 32.84117 -116.16096 -6599.9927 3236.34 0
202 18252 32.837387 -116.16254 -3300.007 3236.34 0
202 18253 32.831165 -116.126976 -6600.007 0.0 0
202 18254 32.83495 -116.1254 -9899.993 0.0 0
202 18255 32.844578 -116.15809 -9899.993 3236.34 0
