101 EQSim_Input_Geometry_2 2
102 End_Metadata
204 7247 28985 28986 28987 28988 28.94 3.07994e-11 0 0 109.957 1
204 7248 28989 28990 28991 28992 28.94 3.07994e-11 0 0 109.801 1
204 7249 28993 28994 28995 28996 28.94 3.07994e-11 0 0 109.952 1
204 7250 28997 28998 28999 29000 28.94 3.07994e-11 0 0 109.616 1
204 7251 29001 29002 29003 29004 28.94 3.07994e-11 0 0 109.471 1
204 7252 29005 29006 29007 29008 28.94 3.07994e-11 0 0 109.615 1
204 7253 29009 29010 29011 29012 28.94 3.07994e-11 0 0 109.466 1
204 7254 29013 29014 29015 29016 28.94 3.07994e-11 0 0 109.615 1
201 870 Hollywood_Subsection_1 40 0 10 34.1019 34.1684 -118.375 -118.292 -17300 -0.019581 0 6331.06 108
202 29017 34.1087 -118.326 -0.019581 3165.53 1
202 29018 34.1199 -118.328 -3459.98 0 0
202 29019 34.1246 -118.294 -3459.98 0 0
202 29020 34.1134 -118.292 -0.019581 0 2
202 29021 34.1196 -118.329 -3460.02 3165.53 0
202 29022 34.1307 -118.331 -6919.98 0 0
202 29023 34.1355 -118.297 -6919.98 0 0
202 29024 34.1244 -118.295 -3460.02 0 0
202 29025 34.1306 -118.332 -6920.02 3165.53 0
202 29026 34.1418 -118.334 -10380 0 0
202 29027 34.1465 -118.301 -10380 0 0
202 29028 34.1353 -118.299 -6920.02 0 0
202 29029 34.1415 -118.336 -10380 3165.53 0
202 29030 34.1526 -118.338 -13840 0 0
202 29031 34.1574 -118.304 -13840 0 0
202 29032 34.1463 -118.302 -10380 0 0
202 29033 34.1525 -118.339 -13840 3165.53 0
202 29034 34.1636 -118.341 -17300 0 0
202 29035 34.1684 -118.308 -17300 0 0
202 29036 34.1573 -118.306 -13840 0 0
202 29037 34.1019 -118.358 -0.0261981 6331.06 3
202 29038 34.1129 -118.361 -3459.97 3165.53 0
202 29039 34.1197 -118.328 -3459.97 3165.53 0
202 29040 34.1087 -118.325 -0.0261981 3165.53 1
202 29041 34.1129 -118.362 -3460.03 6331.06 0
202 29042 34.1239 -118.366 -6919.97 3165.53 0
202 29043 34.1307 -118.332 -6919.97 3165.53 0
202 29044 34.1197 -118.328 -3460.03 3165.53 0
202 29045 34.1238 -118.365 -6920.03 6331.06 0
202 29046 34.1348 -118.368 -10380 3165.53 0
202 29047 34.1417 -118.335 -10380 3165.53 0
202 29048 34.1307 -118.332 -6920.03 3165.53 0
202 29049 34.1348 -118.369 -10380 6331.06 0
